ORIGID,CountyName,PopulationCensus16,IGEasting,IGNorthing,Lat,Long,CovidCaseroundUp,ConfirmedCovidCases,PopulationProportionCovidCases,x,y,UniqueGeographicIdentifier,FID
1,Carlow,56932,278661,163444,52.7168,-6.8367,15,15,26.3472212463992,-6.83669999970516,52.7167999995109,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,1
2,Cavan,76176,246380,304501,53.9878,-7.2937,129,129,169.344675488343,-7.29369999965519,53.9877999986736,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,2
3,Clare,118817,133493,182732,52.8917,-8.9889,66,66,55.5476068239393,-8.98889999973517,52.8916999990478,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,3
4,Cork,542868,156242,77860,51.9517,-8.6372,431,431,79.3931489791257,-8.63720000027973,51.95169999894,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,4
5,Donegal,159192,202615,405691,54.8989,-7.96,120,120,75.3806723955978,-7.95999999999998,54.8988999988483,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,5
6,Dublin,1347359,313762,235813,53.3605,-6.292,3268,3268,242.548570945086,-6.29199999970018,53.3604999990721,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,6
7,Galway,258058,151045,235818,53.3705,-8.7362,134,134,51.9263111393563,-8.73619999983009,53.3704999988724,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,7
8,Kerry,147707,92975,102996,52.1689,-9.565,122,122,82.5959500903816,-9.56499999985005,52.1688999994213,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,8
9,Kildare,222504,281262,221513,53.238,-6.7837,233,233,104.717218566857,-6.78369999995499,53.2379999994957,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,9
10,Kilkenny,99232,253094,148060,52.5816,-7.2175,88,88,88.6810706223799,-7.21750000022479,52.5815999988303,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,10
11,Laois,84697,244211,193996,52.9952,-7.3423,34,34,40.1430983387841,-7.34229999974514,52.9951999992736,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,11
12,Leitrim,32044,200446,319670,54.1261,-7.9939,20,20,62.41418050181,-7.99390000028473,54.1260999993196,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,12
13,Limerick,194899,149743,141780,52.5255,-8.7412,160,160,82.0938024310027,-8.74120000017984,52.5254999991145,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,13
14,Longford,40873,220162,275901,53.7325,-7.6952,35,35,85.6311012159616,-7.6951999996802,53.7324999993756,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,14
15,Louth,128884,299463,297349,53.9161,-6.487,96,96,74.4855839359424,-6.48699999985007,53.9160999990176,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,15
16,Mayo,130507,117679,297355,53.9191,-9.2537,130,130,99.6115150911445,-9.25370000005489,53.9190999988678,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,16
17,Meath,195044,284946,271349,53.6851,-6.715,183,183,93.8249830807408,-6.71500000014981,53.6850999988654,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,17
18,Monaghan,61386,268914,326818,54.1857,-6.9452,62,62,101.000228065031,-6.94520000027973,54.1856999994601,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,18
19,Offaly,77961,222690,223679,53.2632,-7.6607,77,77,98.7673323841408,-7.66069999960524,53.2631999987765,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,19
20,Roscommon,64544,182029,283486,53.8008,-8.2735,22,22,34.0852751611304,-8.27349999962524,53.8007999987217,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,20
21,Sligo,65535,165130,323355,54.1581,-8.5345,28,28,42.72526131075,-8.5345000000749,54.15809999922,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,21
22,Tipperary,159553,205427,154345,52.6407,-7.9206,137,137,85.8648850225317,-7.92059999969018,52.6406999992954,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,22
23,Waterford,116176,234676,105809,52.2035,-7.4935,52,52,44.7596749758986,-7.49349999992501,52.2034999987122,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,23
24,Westmeath,88770,238362,255966,53.5524,-7.4219,134,134,150.951898163794,-7.42190000038465,53.5523999992589,http://data.geohive.ie/resource/county/2ae19629-144c-13a3-e055-000000000001,24
25,Wexford,149722,301627,141559,52.5164,-6.5037,24,24,16.0297083928882,-6.50370000015482,52.5163999994492,http://data.geohive.ie/resource/county/2ae19629-144d-13a3-e055-000000000001,25
26,Wicklow,142425,311162,197894,53.0205,-6.3442,181,181,127.084430401966,-6.34420000032969,53.0204999986693,http://data.geohive.ie/resource/county/2ae19629-144e-13a3-e055-000000000001,26
